Date,Start Time,End Time,Subject Name,Full Mark,Pass Marks,classes
30-05-2025,09:00 AM,10:30 AM,EVS,10,4,1|2|3|4|5
30-05-2025,09:00 AM,10:30 AM,English Writing,10,4,Nursery|LKG|UKG
30-05-2025,11:30 AM,01:00 PM,GK,10,4,1|2|3|4|5|6
30-05-2025,11:30 AM,01:00 PM,Hindi Writing,10,4,Nursery|LKG|UKG
31-05-2025,09:00 AM,10:30 AM,Urdu Writing,10,4,Nursery|LKG|UKG|
31-05-2025,09:00 AM,10:30 AM,Computer,10,4,1|2|3|4|5|6
31-05-2025,11:30 AM,01:00 PM,Urdu,10,4,Nursery|LKG|UKG|1|2|3|4|5|6
02-06-2025,09:00 AM,10:30 AM,Mathematics,10,4,Nursery|LKG|UKG|1|2|3|4|5|6
02-06-2025,11:30 AM,01:00 PM,Hindi,10,4,Nursery|LKG|UKG|1|2|3|4|5|6
03-06-2025,09:00 AM,10:30 AM,Social Science,10,4,1|2|3|4|5|6
03-06-2025,11:30 AM,01:00 PM,Conversation,10,4,1|2|3|4|5|6
04-06-2025,09:00 AM,10:30 AM,English,10,4,Nursery|LKG|UKG|1|2|3|4|5|6
05-06-2025,09:00 AM,10:30 AM,Science,10,4,1|2|3|4|5|6
05-06-2025,11:30 AM,01:00 PM,Bangla,10,4,Nursery|LKG|UKG|1|2|3|4|5|6
